English,Japanese
hill,丘
ill,病気で
Jill,ジル
kill,殺す
krill,オキアミ
mill,ミル
pill,ピル
quill,クイル
shrill,甲高い
sill,敷居
skill,スキル
spill,流出
still,まだ
swill,残飯
thrill,スリル
till,迄
trill,トリル
will,意志
bin,ビン
chin,顎
din,喧騒
fin,フィン
gin,ジン
grin,笑顔
in,で
kin,親族
pin,ピン
shin,すね
sin,罪
skin,肌
spin,スピン
thin,薄い
tin,錫
twin,ツイン
win,勝利
within,中に
brine,塩水
decline,衰退
define,定義する
dine,食事をする
fine,罰金
line,ライン
mine,地雷
nine,9人
pine,松
shine,輝き
shrine,神社
sine,正弦
spine,脊椎
swine,豚
tine,歯
twine,より糸
vine,つる
whine,駄々をこねる
wine,ワイン
bring,持って来る
cling,しがみつく
fling,情事
king,王
ping,ピンポン
ring,リング
sing,歌う
sling,スリング
spring,春
sting,スティング
string,文字列
swing,スイング
thing,事
wing,ウイング
wring,絞る
zing,熱意
blink,まばたき
brink,瀬戸際
drink,飲み物
fink,フィンク
ink,インク
link,リンク
mink,ミンク
pink,ピンク
rink,リンク
shrink,シュリンク
sink,シンク
stink,悪臭
think,考える
wink,ウインク
blip,ブリップ
chip,チップ
dip,ディップ
drip,ドリップ
flip,フリップ
grip,グリップ
hip,ヒップ
lip,リップ
nip,ニップ
quip,気の利いた言葉
rip,リップ
ship,船
sip,一口
skip,スキップ
slip,スリップ
snip,スニップ
strip,ストリップ
tip,ヒント
trip,旅行
whip,むち
zip,ZIP
admit,認める
bit,ビット
fit,フィット
flit,フリット
grit,グリット
hit,ヒット
it,それ
kit,キット
knit,ニット
lit,リット
mit,MIT
pit,ピット
quit,やめる
sit,座る
skit,寸劇
slit,スリット
snit,苛立ち
spit,串
split,スプリット
twit,なじる
wit,ウィット
boat,ボート
coat,コー​​ト
float,フロート
gloat,ほくそ笑む
goat,ヤギ
oat,エンバク
stoat,オコジョ
throat,喉
block,ブロック
clock,クロック
cock,コック
dock,ドック
flock,群れ
frock,フロック
hock,ホック
jock,運動選手
knock,ノック
lock,ロック
mock,モック
o'clock,時
rock,岩
shock,ショック
smock,スモック
sock,靴下
stock,株式
blog,ブログ
bog,湿原
catalog,カタログ
clog,クロッグ
cog,歯
dog,犬
fog,霧
frog,カエル
hog,豚
jog,ジョグ
log,ログ
slog,重い足取りで進む
smog,スモッグ
boil,沸騰
broil,焼く
coil,コイル
foil,箔
oil,オイル
soil,土壌
spoil,台無し
toil,労苦
awoke,覚醒
bloke,やつ
broke,壊した
joke,ジョーク
poke,突く
smoke,煙
spoke,スポーク
stoke,ストーク
stroke,ストローク
woke,目が覚めた
yoke,ヨーク
boo,ブーイング
coo,クー
goo,グー
igloo,イグルー
moo,モー
shoo,追い遣る
too,あまりに
woo,ウー
zoo,動物園
brood,同腹
food,食べ物
good,良い
mood,気分
stood,立っていた
wood,木材
goof,へま
hoof,ひづめ
proof,証拠
roof,屋根
spoof,パロディー
woof,横糸
book,本
brook,小川
cook,クック
crook,クルック
hook,フック
look,見える
nook,ヌック
rook,ルーク
shook,横に振った
took,かかった
cool,涼しい
drool,よだれ
fool,愚か者
pool,プール
spool,スプール
stool,スツール
tool,ツール
bloom,ブルーム
boom,ブーム
broom,ほうき
doom,運命
gloom,暗がり
groom,新郎
loom,織機
room,部屋
zoom,ズーム
balloon,バルーン
goon,暴力団
loon,ローン
moon,ムーン
noon,正午
soon,すぐに
spoon,スプーン
swoon,気絶
coop,小屋
droop,ドループ
hoop,フープ
loop,ループ
scoop,スクープ
snoop,スヌープ
stoop,猫背
troop,部隊
boot,ブーツ
hoot,やじる
scoot,スクーター
shoot,撃つ
foot,足
soot,すす
bop,バップ
chop,チョップ
cop,警官
crop,作物
drop,ドロップ
flop,フロップ
hop,ホップ
lop,切り調える
mop,モップ
plop,ウンチ
pop,ポップ
prop,小道具
shop,ショップ
sop,わいろ
stop,停止
top,トップ
bore,ボア
chore,雑用
core,コア
fore,フォア
gore,ゴア
lore,伝承
more,もっと
ore,鉱石
pore,毛穴
score,スコア
shore,海岸
sore,痛い
spore,胞子
store,店
swore,誓った
tore,引き裂いた
wore,身に着けていた
yore,昔
adorn,飾る
born,ボルン
corn,トウモロコシ
forlorn,孤独な
horn,ホーン
morn,朝
scorn,軽蔑
shorn,刈り込んだ
thorn,とげ
torn,引き裂かれた
worn,着用
apricot,アプリコット
blot,ブロット
bot,ボット
clot,塊
cot,コット
dot,ドット
forgot,忘れてしまった
got,だ
hot,ホット
jot,メモする
knot,結び目
lot,たくさん
not,しない
plot,プロット
pot,ポット
rot,腐敗
shot,ショット
slot,スロット
spot,スポット
tot,TOT
trot,トロット
bought,買った
brought,た
fought,戦った
ought,はずである
sought,求め
thought,考え
wrought,鍛造
could,可能性
should,すべきである
would,でしょう
douse,消す
grouse,ライチョウ
house,家
louse,シラミ
mouse,マウス
spouse,配偶者
about,約
bout,試合
clout,影響力
gout,痛風
grout,グラウト
lout,ぐず
out,アウト
pout,ふくれっ面
scout,スカウト
shout,シャウト
snout,吻
spout,注ぎ口
stout,スタウト
tout,大げさに宣伝する
trout,トラウト
bow,弓
chow,チャウ
cow,牛
how,方法
now,今
plow,プラウ
sow,雌豚
vow,誓い
wow,ワウ
blow,打撃
bow,弓
crow,カラス
flow,流れ
glow,グロー
grow,成長する
low,低い
mow,刈る
row,行
show,ショー
slow,遅い
snow,雪
sow,雌豚
stow,ストウ
throw,投げる
tow,けん引
brown,ブラウン
crown,クラウン
down,ダウン
drown,溺れ死ぬ
frown,眉をひそめる
gown,ガウン
nightgown,ナイトガウン
town,町
buck,バック
chuck,チャック
cluck,あほう
duck,アヒル
luck,運
pluck,摘む
puck,パック
struck,打た
stuck,スタック
truck,トラック
tuck,タック
yuck,不潔なもの
bug,バグ
dug,掘り
hug,抱擁
jug,水差し
lug,ラグ
mug,マグカップ
plug,プラグ
pug,パグ
rug,ラグ
smug,独り善がりの
snug,スナッグ
thug,悪党
tug,強く引っ張る
bump,バンプ
clump,塊
dump,ダンプ
grump,grump
hump,こぶ
jump,ジャンプ
lump,しこり
plump,ふくよか
pump,ポンプ
rump,尻
slump,不況
stump,切り株
thump,強打
trump,トランプ
bun,ロールパン
fun,楽しい
gun,銃
nun,修道女
pun,しゃれ
run,実行
shun,避ける
spun,スパン
stun,気絶させる
sun,太陽
bunk,寝台
chunk,チャンク
drunk,酔った
dunk,ダンク
flunk,落第
funk,ファンク
hunk,大きな塊
junk,ジャンク
lunk,lunk
plunk,plunk
punk,パンク
skunk,スカンク
slunk,slunk
spunk,勇気
sunk,サンク
trunk,トランク
